product_category,candidate_count,mapped_by_cluster,unmapped_no_cluster,coverage_pct
Beverage Refrigerators,8952,4786,4166,53.46
Chest Freezers,4827,2904,1923,60.16
Cooktops,1711,453,1258,26.48
Countertop Dishwashers,17773,10239,7534,57.61
Dryers,4380,2089,2291,47.69
Ice Makers,148212,121674,26538,82.09
Kegerators,795,223,572,28.05
Portable Dryers,7142,3763,3379,52.69
Portable Washers,69414,49559,19855,71.4
Range Hoods,37496,26725,10771,71.27
Refrigerators,3700,1621,2079,43.81
Upright Freezers,8832,5491,3341,62.17
Washers,2166,751,1415,34.67
