block_id,input_clusters,local_themes,assigned_cluster_ids,unique_cluster_ids,exact_once
block-000,35,8,35,35,True
block-001,93,13,93,93,True
block-002,51,13,51,51,True
block-003,79,50,79,79,True
block-004,188,110,188,188,True
block-005,137,10,137,137,True
block-006,26,9,26,26,True
block-007,87,19,87,87,True
block-008,79,61,79,79,True
block-009,144,39,144,144,True
block-010,62,19,62,62,True
block-011,82,36,82,82,True
block-012,190,55,190,190,True
block-013,68,4,68,68,True
block-014,121,8,121,121,True
block-015,166,64,166,166,True
block-016,168,52,168,168,True
block-017,127,27,127,127,True
block-018,106,37,106,106,True
block-019,84,16,84,84,True
block-020,64,14,64,64,True
block-021,42,10,42,42,True
block-022,55,12,55,55,True
block-023,88,29,88,88,True
